CO_ANO,LOCALIES,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2017,Capital,99324,MÚSICA - CRAVO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,2,3,1,0,0,0,1,0,0
2018,Capital,99324,MÚSICA - CRAVO,Bacharelado,Graduação Presencial,ESCOLA DE MÚSICA,1,5,0,0,0,0,1,0,0
2014,Capital,107783,LETRAS - PORTUGUÊS E HEBRAICO,Bacharelado,Graduação Presencial,Cidade Universitária,33,0,21,9,0,5,7,0,0
2015,Capital,107783,LETRAS - PORTUGUÊS E HEBRAICO,Bacharelado,Graduação Presencial,Cidade Universitária,23,0,12,3,0,8,2,1,0
2016,Capital,107783,LETRAS - PORTUGUÊS E HEBRAICO,Bacharelado,Graduação Presencial,Cidade Universitária,23,6,13,2,0,4,6,0,0
2017,Capital,107783,LETRAS - PORTUGUÊS E HEBRAICO,Bacharelado,Graduação Presencial,Cidade Universitária,16,0,9,1,0,6,1,0,0
2018,Capital,107783,LETRAS - PORTUGUÊS E HEBRAICO,Bacharelado,Graduação Presencial,Cidade Universitária,19,2,13,3,1,3,3,0,0
2014,Capital,107784,LETRAS - PORTUGUÊS E HEBRAICO,Licenciatura,Graduação Presencial,PRAIA VERMELHA,10,2,7,3,1,1,2,0,0
2015,Capital,107784,LETRAS - PORTUGUÊS E HEBRAICO,Licenciatura,Graduação Presencial,PRAIA VERMELHA,7,1,4,3,1,2,1,0,0
2016,Capital,107784,LETRAS - PORTUGUÊS E HEBRAICO,Licenciatura,Graduação Presencial,PRAIA VERMELHA,4,0,1,0,0,1,2,0,0
2014,Capital,107788,LETRAS - PORTUGUÊS E ALEMÃO,Bacharelado,Graduação Presencial,Cidade Universitária,58,10,41,9,2,5,10,2,0
2015,Capital,107788,LETRAS - PORTUGUÊS E ALEMÃO,Bacharelado,Graduação Presencial,Cidade Universitária,49,9,29,5,4,11,8,1,0
2016,Capital,107788,LETRAS - PORTUGUÊS E ALEMÃO,Bacharelado,Graduação Presencial,Cidade Universitária,47,6,28,5,2,11,3,5,0
2017,Capital,107788,LETRAS - PORTUGUÊS E ALEMÃO,Bacharelado,Graduação Presencial,Cidade Universitária,39,1,24,2,0,6,4,5,0
