CO_ANO,LOCALIES,CO_CURSO,NO_CURSO,GRAU_ACADEMICO,NO_NIVEL,NO_LOCAL_OFERTA,TOTALALUNOS,VAGAST,MATT,CONCLT,INGR,MATTRANC,MATDESVINCULADA,MATTRANSFERIDO,MATFALECIDO
2018,Capital,116846,CIÊNCIAS MATEMÁTICAS E DA TERRA - SENSORIAMENTO REMOTO E GEOPROCESSAMENTO,Bacharelado,Graduação Presencial,Cidade Universitária,45,12,34,4,9,7,4,0,0
2016,Capital,116847,CIÊNCIAS MATEMÁTICAS E DA TERRA - CIÊNCIAS DA TERRA E PATRIMÔNIO NATURAL,Bacharelado,Graduação Presencial,Cidade Universitária,10,10,9,0,10,1,0,0,0
2017,Capital,116847,CIÊNCIAS MATEMÁTICAS E DA TERRA - CIÊNCIAS DA TERRA E PATRIMÔNIO NATURAL,Bacharelado,Graduação Presencial,Cidade Universitária,15,5,12,2,5,2,0,1,0
2018,Capital,116847,CIÊNCIAS MATEMÁTICAS E DA TERRA - CIÊNCIAS DA TERRA E PATRIMÔNIO NATURAL,Bacharelado,Graduação Presencial,Cidade Universitária,15,3,9,0,3,2,3,1,0
2015,Capital,116848,CIÊNCIAS MATEMÁTICAS E DA TERRA - ANALISTA DE SUPORTE À DECISÃO,Bacharelado,Graduação Presencial,Cidade Universitária,9,25,9,0,9,0,0,0,0
2016,Capital,116848,CIÊNCIAS MATEMÁTICAS E DA TERRA - ANALISTA DE SUPORTE À DECISÃO,Bacharelado,Graduação Presencial,Cidade Universitária,12,3,10,0,3,1,0,1,0
2017,Capital,116848,CIÊNCIAS MATEMÁTICAS E DA TERRA - ANALISTA DE SUPORTE À DECISÃO,Bacharelado,Graduação Presencial,Cidade Universitária,23,12,21,0,12,2,0,0,0
2018,Capital,116848,CIÊNCIAS MATEMÁTICAS E DA TERRA - ANALISTA DE SUPORTE À DECISÃO,Bacharelado,Graduação Presencial,Cidade Universitária,30,12,20,1,7,4,1,5,0
2014,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,,0,268,0,0,0,0,0,0,0
2014,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - ANGRA DOS REIS,88,0,49,0,14,15,24,0,0
2014,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - NOVA IGUAÇU - PÓLO DO CEDERJ (ANTIGO FÓRUM),44,0,39,0,42,0,5,0,0
2014,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - PIRAÍ - PÓLO DO CEDERJ,18,0,17,0,18,0,1,0,0
2014,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,Polo UAB - SAO GONCALO,195,0,114,0,52,27,54,0,0
2015,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,,0,358,0,0,0,0,0,0,0
2015,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - ANGRA DOS REIS,90,0,4,0,24,70,16,0,0
2015,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - NOVA IGUAÇU - PÓLO DO CEDERJ (ANTIGO FÓRUM),127,0,13,0,89,99,15,0,0
2015,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,CONSÓRCIO CEDERJ - PIRAÍ - PÓLO DO CEDERJ,87,0,4,0,48,70,13,0,0
2015,Capital,123365,QUÍMICA,Licenciatura,Graduação a Distância,Polo UAB - SAO GONCALO,237,0,7,1,87,193,37,0,0
