ano,periodo,Centro,Faculdade/ Escola,curso,nivel,QTD-ingressante
2007,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,10
1984,1,,,Histologia e Embriologia         (Mestrado),Mestrado,7
2008,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,15
1984,1,,,História,Mestrado,13
1984,1,,,Letras (Ciência da Literatura),Doutorado,2
1984,1,,,Letras (Ciência da Literatura),Mestrado,3
1984,1,,,Letras (Letras Vernáculas),Doutorado,5
1984,1,,,Letras (Letras Vernáculas),Mestrado,12
1984,1,,,Letras (Lingüística e Filologia),Mestrado,4
1984,1,,,Letras - Linguística e Filologia (Doutorado),Doutorado,3
1984,1,,,Letras Neolatinas,Mestrado,2
2008,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,11
2009,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,17
2009,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,15
2010,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,18
2010,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,18
2011,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,15
2011,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,16
2012,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,15
2012,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,15
2013,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,16
1984,1,,,Matemática,Mestrado,16
2013,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,14
1984,1,,,Medicina (Anatomia Patológica),Mestrado,7
1984,1,,,Medicina (Cardiologia),Doutorado,2
1984,1,,,Medicina (Cardiologia),Mestrado,8
1984,1,,,Medicina (Doenças Infecciosas e Parasitárias),Doutorado,1
1984,1,,,Medicina (Doenças Infecciosas e Parasitárias),Mestrado,8
1984,1,,,Medicina (Endocrinologia),Mestrado,3
1984,1,,,Medicina (Radiologia),Mestrado,9
1984,1,,,Medicina - Cirurgia Geral ,Doutorado,1
1984,1,,,Medicina - Cirurgia Geral ,Mestrado,9
1984,1,,,Medicina - Dermatologia,Doutorado,1
1984,1,,,Medicina - Dermatologia ,Mestrado,2
1984,1,,,Medicina - Gastroenterologia,Mestrado,6
1984,1,,,Medicina Fisica e Reabilitacao   ,Mestrado,2
1984,1,,,Medicina-Ortopedia e Traumatologia ,Mestrado,7
2014,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,15
1984,1,,,Música,Mestrado,1
2014,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,15
2015,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,16
2015,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,15
2016,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,15
2016,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,15
2017,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,15
2017,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,15
2018,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,16
2018,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,15
2019,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,15
2019,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,15
2020,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição de Interior,Graduação,15
1953,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,1
1971,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,2
1984,1,,,Nefrologia         ,Mestrado,3
1972,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,21
1984,1,,,Nutrologia                       ,Mestrado,5
1973,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,13
1984,1,,,Odontologia (Odontopediatria),Mestrado,10
1984,1,,,Odontologia (Ortodontia),Mestrado,8
1984,1,,,Odontologia (Periodontia),Mestrado,3
1984,1,,,Oftalmologia,Mestrado,8
1984,1,,,Otorrinolaringologia         ,Mestrado,6
1973,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,1
1984,1,,,Pediatria                        (Mestrado),Mestrado,6
1974,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,15
1984,1,,,Psicologia,Doutorado,1
1984,1,,,Psicologia,Mestrado,1
1984,1,,,"Psiquiatria,Psicanálise e Saúde Mental",Mestrado,4
1975,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,17
1984,1,,,Química de Produtos Naturais,Mestrado,4
1984,1,,,Química Orgânica ,Doutorado,4
1984,1,,,Química Orgânica    ,Mestrado,7
1975,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,1
1984,1,,,Serviço Social,Mestrado,11
1984,1,,,Sociologia e Antropologia,Mestrado,17
1984,1,,,Tecnologia de Processos Químic e Bioquímicos,Mestrado,16
1984,1,,,Tisiologia e Pneumologia,Mestrado,2
1976,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,25
1976,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,1
1977,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,11
1977,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,6
1978,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,12
1978,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,9
1979,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,12
1979,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,8
1980,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,11
1980,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,13
1981,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,14
1981,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,6
1982,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,14
1982,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,11
1983,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,10
1983,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,10
1984,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,13
1984,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,10
1984,2,,,Ciência e Tecnologia de Polímeros,Doutorado,2
1984,2,,,Ciência e Tecnologia de Polímeros,Mestrado,1
1985,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,11
1984,2,,,Ciências Biológicas (Biofísica),Doutorado,4
1985,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,10
1986,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,18
1986,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,10
1987,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,13
1987,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,12
1988,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,5
1989,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,3
1984,2,,,Comunicação,Doutorado,1
1984,2,,,Comunicação,Mestrado,1
1990,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,3
1990,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,2
1991,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,9
1991,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,1
1992,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,9
1993,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,19
1984,2,,,Direito ,Doutorado,5
1993,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,4
1984,2,,,Direito                    ,Mestrado,1
1994,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,13
1994,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,10
1995,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,8
1995,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,4
1996,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,12
1996,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,10
1984,2,,,Engenharia Biomédica,Mestrado,1
1997,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,17
1984,2,,,Engenharia Civil,Mestrado,1
1997,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,7
1998,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,14
1998,2,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,10
1984,2,,,Engenharia Metalúrgica e de Materiais,Mestrado,3
1984,2,,,Engenharia Nuclear,Mestrado,3
1984,2,,,Engenharia Química,Doutorado,1
1999,1,Centro de Letras e Artes (CLA),Escola de Belas Artes (EBA),Composição Paisagística,Graduação,18
